pheno,N,N_case,N_control,ldsc_int,ldsc_int_se,ldsc_h2,ldsc_h2_se,ldpred2_n_keep,ldpred2_h2,ldpred2_p
ECG_RR_interval,20135,,,1.01,0.00683,0.147,0.0278,6,0.174,0.00477
erythrocyte_width,378787,,,1.06,0.0174,0.148,0.0117,29,0.141,0.00307
erythrocyte,379386,,,1.15,0.0211,0.211,0.0162,29,0.236,0.00916
ever_addicted,,7577,118040,0.994,0.00682,0.0838,0.0175,5,0.0759,0.00718
ever_cannabis,,15637,99278,1.01,0.00752,0.188,0.0149,20,0.196,0.0174
ever_smoked,,236287,153277,1.01,0.0102,0.125,0.00522,24,0.124,0.0276
F_age_first_birth,77356,,,1.01,0.00755,0.166,0.00937,21,0.174,0.0401
F_irregular_menstrual_cycle,,4404,18808,1.01,0.00647,0.023,0.0388,3,0.0381,0.0819
F_length_menstrual_cycle,18570,,,1.01,0.00636,0.0947,0.0262,2,0.138,0.00342
F_log_oestradiol,31837,,,1,0.00734,0.0208,0.0186,5,0.0351,0.013
F_log_testosterone,183213,,,1,0.00999,0.0788,0.0083,26,0.0606,0.00231
F_menarche,110663,,,0.998,0.00939,0.252,0.0123,26,0.227,0.0093
fall_1y,,77199,313013,0.993,0.008,0.0622,0.004,20,0.0582,0.0296
fat_perc,384046,,,1.07,0.0151,0.231,0.006,27,0.247,0.0504
FEV1,294961,,,1.07,0.0133,0.216,0.00753,28,0.228,0.021
fluid_intelligence,99976,,,0.991,0.00919,0.211,0.00906,23,0.202,0.028
foreboding_feelings,,21239,105167,1.01,0.00722,0.0919,0.0107,19,0.0924,0.0182
fracture_5y,,37676,351288,1,0.00713,0.0579,0.00565,21,0.0531,0.0039
FVC,294973,,,1.09,0.0149,0.239,0.00858,28,0.259,0.0213
geek_time,385135,,,1.01,0.0095,0.0976,0.00341,23,0.1,0.054
glasses,,348825,41721,0.99,0.00757,0.0523,0.004,18,0.0457,0.0159
haematocrit_perc,379427,,,1.13,0.0178,0.149,0.00957,29,0.167,0.00855
haemoglobin,379388,,,1.12,0.0181,0.16,0.0112,29,0.178,0.00829
hand_grip_strength,388700,,,1.03,0.0129,0.143,0.00455,26,0.148,0.0318
hard_falling_asleep,,37216,11871,1,0.00766,0.077,0.0228,4,0.0817,0.0104
headaches_for_3m,,34844,41444,0.999,0.00741,0.0943,0.0124,17,0.0924,0.00499
height,390250,,,1.37,0.0327,0.452,0.0181,30,0.546,0.0226
immature_reticulocyte_frac,373217,,,1.06,0.0157,0.144,0.0112,29,0.146,0.0045
income,336645,,,1.06,0.0111,0.0875,0.00364,23,0.0979,0.14
insomnia,390618,,,1.01,0.0101,0.0661,0.00277,23,0.0671,0.0335
LDL,372265,,,1.05,0.0189,0.115,0.0207,29,0.124,0.00142
left_handed,,37276,346961,1,0.00778,0.0381,0.00518,19,0.0353,0.00517
less_alcohol,390606,,,1.02,0.0111,0.0868,0.00355,24,0.0897,0.0326
less_happy_with_health,126718,,,0.999,0.00854,0.0829,0.00603,22,0.0806,0.0256
less_happy,126356,,,1,0.00727,0.0673,0.00498,20,0.0679,0.0156
less_tanned,382978,,,1.05,0.0127,0.175,0.0568,30,0.176,0.000891
log_age_first_sex,342706,,,1.02,0.0122,0.155,0.00461,25,0.158,0.0435
